Term,Definition
Karen,"femme perçue comme autoritaire, exigeante, souvent raciste."
Pick me,"personne (souvent une fille) qui cherche désespérément à plaire, souvent en rabaissant les autres."
Inc*l,"personne frustrée par son absence de relations intimes, souvent avec une vision toxique des femmes."
Degen,"individu perçu comme dégénéré ou inadapté, souvent utilisé dans les communautés en ligne."
Edgelord,personne qui cherche à provoquer ou choquer avec des opinions 'dark' ou extrêmes.
F-boy / F-girl,personne perçue comme manipulatrice en matière de relations.
Sigma male,"version exagérée du 'loup solitaire' qui rejette les normes sociales masculines, souvent idéalisée de manière toxique."
DILF / MILF,homme/femme mature perçu(e) comme sexuellement attirant(e).
Based,"opinion considérée comme courageuse et sans filtre, mais parfois vue comme insensible."
Cuck,utilisé pour dénigrer quelqu'un perçu comme soumis ou dominé (souvent connotation toxique).
Neet,"personne sans emploi, éducation ou formation, souvent vue comme déconnectée de la société."
Gaslight,manipuler pour faire douter quelqu'un de sa perception de la réalité.
Snowflake,personne jugée comme trop sensible ou facilement offensée.
Karening,"comportement exigeant et intolérant, généralement attribué à une femme blanche d'âge moyen."
Soy boy,"homme perçu comme faible ou 'féminisé', souvent utilisé par des groupes misogynes."
Touch grass,"critique envers quelqu'un jugé comme trop ancré dans internet, détaché de la réalité."
Thirst trap,contenu posté pour attirer l’attention sexuelle.
Goblin mode,"comportement décomplexé, négligé, parfois jugé répulsif."
Cancel,"boycott public d'une personne jugée problématique, souvent perçu comme excessif."
Karencore,"esthétique des 'Karens' : bob court, attitude autoritaire, opinion tranchée."
